Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain,Ridge Predicted Stress,RFR Predicted Stress,XGB Predicted Stress,SVR Predicted Stress,ANN Predicted Stress,SGD Predicted Stress
0.001,150,0.008686068,649.4814453,6.19E-05,633.1428061,777.7543613,624.8972,617.1404172,619.0699,608.6618987
0.001,150,0.00867686,649.4208374,5.27E-05,633.1082139,777.7543613,624.8972,617.1045704,619.0484,608.6249701
0.001,150,0.00869397,649.4001465,6.98E-05,633.1724868,777.7543613,624.8972,617.1711987,619.0884,608.6936092
0.001,150,0.008714275,649.4038696,9.01E-05,633.2487624,777.7543613,624.8972,617.2502954,619.13574,608.775093
0.001,150,0.008721547,649.4219971,9.74E-05,633.2760781,777.7543613,624.8972,617.278739,619.15283,608.8043951
0.001,150,0.008734018,649.4784546,0.000109846,633.3229225,777.7543613,624.8972,617.3272334,619.1819,608.8543531
0.001,150,0.008762468,649.5578613,0.000138296,633.4297917,777.7543613,624.8972,617.4380857,619.24835,608.9685509
0.001,150,0.008800277,649.651001,0.000176105,633.5718169,777.7543613,624.8972,617.5854042,619.3366,609.1203155
0.001,150,0.008812522,649.7181396,0.00018835,633.6178139,777.7543613,625.0709,617.6331155,619.36523,609.1694667
0.001,150,0.008811413,649.7716064,0.000187241,633.613648,777.7543613,625.0709,617.6287944,619.3626,609.1650152
0.001,150,0.008847507,649.8300171,0.000223335,633.7492311,777.7543613,627.36615,617.7694306,619.44696,609.3098959
0.001,150,0.008864417,649.8687134,0.000240245,633.8127516,777.7754703,628.23645,617.8353186,619.48645,609.3777723
0.001,150,0.008873632,649.8920288,0.00024946,633.8473667,777.8072043,630.37714,617.8712238,619.508,609.4147612
0.001,150,0.008897383,649.9338989,0.000273211,633.9365846,777.8326886,611.47406,617.9637669,619.5634,609.5100973
0.001,150,0.008912849,649.9591064,0.000288677,633.9946809,777.8477942,622.4024,618.0240284,619.59955,609.5721775
0.001,150,0.008939149,649.9883423,0.000314977,634.0934738,777.9527883,600.08997,618.1265034,619.66095,609.6777452
0.001,150,0.008972569,650.0073853,0.000348398,634.219016,777.9741915,584.8736,618.2567246,619.739,609.8118965
0.001,150,0.009042344,650.03125,0.000418172,634.4811141,777.975687,578.6455,618.5285912,619.902,610.0919681
0.001,150,0.008982854,649.9483643,0.000358682,634.2576467,777.974674,606.59076,618.2967951,619.763,609.8531763
0.001,150,0.009059135,649.9415283,0.000434963,634.5441876,777.9759868,578.51526,618.5940155,619.9412,610.1593668
0.001,150,0.009036101,649.8446045,0.00041193,634.4576667,777.975687,578.25916,618.5042699,619.8874,610.0669128
0.001,150,0.009068391,649.7750854,0.000444219,634.5789567,777.9759868,603.78046,618.6300804,619.9628,610.1965203
0.001,150,0.009081965,649.7033691,0.000457793,634.6299459,777.9759868,606.1471,618.68297,619.99457,610.251006
0.001,150,0.009120763,649.6660767,0.000496591,634.7756862,777.9772707,598.9309,618.8341421,620.08514,610.4067405
0.001,150,0.009115929,649.6347046,0.000491757,634.7575278,777.9764087,599.4512,618.8153069,620.07385,610.3873369
0.001,150,0.009167849,649.6555176,0.000543677,634.9525594,777.9790155,593.7537,619.0176074,620.19507,610.5957429
0.001,150,0.00917043,649.671875,0.000546258,634.9622546,777.9807142,606.9377,619.027664,620.2011,610.6061029
0.001,150,0.009186801,649.6932983,0.000562629,635.0237504,777.9960492,591.7645,619.0914517,620.2393,610.6718158
0.001,150,0.00923253,649.7269897,0.000608359,635.19553,778.0418036,611.3461,619.2696336,620.3461,610.8553752
0.001,150,0.00922033,649.6962891,0.000596158,635.1496983,778.0418036,607.8143,619.2220937,620.3176,610.8064006
0.001,150,0.009252307,649.6975098,0.000628135,635.2698163,778.0498926,606.6151,619.3466885,620.39233,610.9347557
0.001,150,0.009260942,649.675354,0.00063677,635.3022526,778.0521885,611.33,619.3803338,620.4125,610.9694165
0.001,150,0.009300488,649.692749,0.000676316,635.4508027,778.0546098,606.0578,619.5344204,620.5049,611.1281534
0.001,150,0.009297429,649.6812134,0.000673257,635.4393119,778.0546098,603.5879,619.5225014,620.49774,611.1158746
0.001,150,0.009335555,649.7236328,0.000711383,635.5825279,778.0573761,597.7927,619.671055,620.5868,611.2689117
0.001,150,0.009337098,649.7483521,0.000712926,635.588324,778.0573761,597.7927,619.6770672,620.5904,611.2751053
0.001,150,0.009374701,649.7984009,0.00075053,635.7295792,778.0611196,600.92236,619.823587,620.6782,611.426047
0.001,150,0.00939134,649.8334961,0.000767169,635.7920817,778.0668067,616.17896,619.888419,620.7171,611.4928357
0.001,150,0.009400067,649.8695068,0.000775895,635.8248599,778.0730036,614.1997,619.9224188,620.7374,611.5278617
0.001,150,0.00943658,649.9057007,0.000812409,635.9620206,778.1176339,614.33624,620.0646916,620.82275,611.6744282
0.001,150,0.009445771,649.9191895,0.000821599,635.9965418,778.1821772,614.33624,620.1004994,620.8442,611.7113167
0.001,150,0.009465121,649.9244995,0.000840949,636.0692279,778.2247253,614.33624,620.1758945,620.8894,611.7889873
0.001,150,0.009479084,649.9119263,0.000854912,636.1216783,778.2317841,609.33075,620.2302997,620.922,611.8450345
0.001,150,0.009514346,649.9127808,0.000890174,636.254136,778.285523,604.2713,620.3676942,621.00433,611.9865755
0.001,150,0.009517415,649.8981323,0.000893244,636.2656681,778.285523,604.2713,620.3796561,621.01154,611.9988984
