Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain
0.0001,27,0.10683,939.31764,0.0003
0.0001,27,0.10683,939.32333,0.0003
0.0001,27,0.10684,939.3368,0.00031
0.0001,27,0.10684,939.34085,0.00031
0.0001,27,0.10685,939.34472,0.00032
0.0001,27,0.10685,939.3442,0.00032
0.0001,27,0.10685,939.34144,0.00032
0.0001,27,0.10686,939.34991,0.00033
0.0001,27,0.10686,939.3588,0.00033
0.0001,27,0.10687,939.36608,0.00034
0.0001,27,0.10687,939.35838,0.00034
0.0001,27,0.10687,939.35207,0.00034
0.0001,27,0.10688,939.35678,0.00035
0.0001,27,0.10688,939.36709,0.00035
0.0001,27,0.10689,939.38419,0.00036
0.0001,27,0.10689,939.39057,0.00036
0.0001,27,0.10689,939.39557,0.00036
0.0001,27,0.10689,939.39782,0.00036
0.0001,27,0.1069,939.40283,0.00037
0.0001,27,0.1069,939.41405,0.00037
0.0001,27,0.1069,939.41581,0.00037
0.0001,27,0.10691,939.42244,0.00038
0.0001,27,0.10691,939.43186,0.00038
0.0001,27,0.10692,939.43648,0.00039
0.0001,27,0.10692,939.4259,0.00039
0.0001,27,0.10692,939.42202,0.00039
0.0001,27,0.10693,939.42587,0.0004
0.0001,27,0.10693,939.43315,0.0004
0.0001,27,0.10694,939.44614,0.00041
0.0001,27,0.10694,939.44912,0.00041
0.0001,27,0.10694,939.44909,0.00041
0.0001,27,0.10695,939.44577,0.00042
0.0001,27,0.10695,939.44649,0.00042
0.0001,27,0.10696,939.45825,0.00043
0.0001,27,0.10696,939.4639,0.00043
0.0001,27,0.10696,939.4662,0.00043
0.0001,27,0.10696,939.46308,0.00043
0.0001,27,0.10697,939.47808,0.00044
0.0001,27,0.10698,939.49754,0.00045
0.0001,27,0.10697,939.50238,0.00044
0.0001,27,0.10698,939.5049,0.00045
0.0001,27,0.10698,939.50896,0.00045
0.0001,27,0.10699,939.51416,0.00046
0.0001,27,0.10699,939.5237,0.00046
0.0001,27,0.10699,939.51803,0.00046
0.0001,27,0.107,939.522,0.00047
0.0001,27,0.107,939.52542,0.00047
0.0001,27,0.107,939.53113,0.00047
0.0001,27,0.10701,939.5398,0.00048
0.0001,27,0.10701,939.53961,0.00048
0.0001,27,0.10702,939.55192,0.00049
0.0001,27,0.10702,939.54876,0.00049
0.0001,27,0.10702,939.5543,0.00049
0.0001,27,0.10703,939.55714,0.0005
0.0001,27,0.10703,939.5596,0.0005
0.0001,27,0.10703,939.55903,0.0005
0.0001,27,0.10704,939.55662,0.00051
0.0001,27,0.10704,939.56609,0.00051
0.0001,27,0.10704,939.56738,0.00051
0.0001,27,0.10705,939.5734,0.00052
0.0001,27,0.10705,939.58042,0.00052
0.0001,27,0.10705,939.58361,0.00052
0.0001,27,0.10706,939.58767,0.00053
0.0001,27,0.10706,939.59197,0.00053
0.0001,27,0.10707,939.59775,0.00054
0.0001,27,0.10707,939.60009,0.00054
0.0001,27,0.10707,939.59543,0.00054
